City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Tuktoyaktuk,69.45,-133.04,10.4,-2.0,85,1014,11.41,11.41
Cape Town,-33.93,18.42,68.85,68.7,68,1007,4.7,4.7
Bonavista,48.65,-53.11,25.54,16.63,79,1030,6.93,6.93
Cabo San Lucas,22.89,-109.91,85.87,85.26,52,1013,11.41,11.41
Vestmannaeyjar,63.44,-20.27,45.9,37.09,81,1009,11.83,11.83
Albany,42.6,-73.97,48.51,39.58,50,1027,9.17,9.17
Upernavik,72.79,-56.15,18.34,8.02,95,1001,8.99,8.99
Bandiagara,14.35,-3.61,82.38,77.09,24,1010,6.13,6.13
Nerja,36.76,-3.89,61.09,59.54,83,1013,5.99,5.99
Butaritari,3.07,172.79,81.25,83.25,73,1011,11.61,11.61
Hermanus,-34.42,19.23,64.99,67.35,90,1010,3.0,3.0
Itapirapuã,-15.82,-50.61,76.35,75.87,48,1010,3.74,3.74
Washington,47.5,-120.5,55.33,52.83,76,1017,3.62,3.62
Carnarvon,-24.87,113.63,71.6,70.68,94,1014,14.99,14.99
Hamilton,39.18,-84.53,58.91,52.23,44,1025,6.93,6.93
Saldanha,-33.01,17.94,59.0,54.81,87,1007,10.29,10.29
Lodwar,3.12,35.6,81.68,79.57,54,1009,11.92,11.92
Yasothon,15.75,104.13,72.16,74.46,88,1013,8.05,8.05
Presidente Médici,-11.18,-61.9,82.94,86.29,51,1006,1.9,1.9
North Bend,43.41,-124.22,65.57,63.01,77,1024,9.17,9.17
Kapoeta,4.77,33.59,81.27,77.56,47,1009,11.81,11.81
Gigmoto,13.78,124.39,81.27,87.03,79,1012,7.25,7.25
Hong Kong,22.29,114.16,68.81,70.18,68,1019,1.99,1.99
Matagami,49.75,-77.63,32.0,20.43,95,1014,13.87,13.87
Chokurdakh,70.63,147.92,-13.52,-23.42,90,1005,5.53,5.53
Saskylakh,71.92,114.08,-7.76,-17.32,90,1011,5.19,5.19
Punta Arenas,-53.15,-70.92,46.4,42.85,87,1000,3.36,3.36
Jasper,37.2,-94.35,69.8,60.6,30,1020,11.41,11.41
Port Blair,11.67,92.75,80.82,87.28,79,1011,5.55,5.55
Vaini,-21.2,-175.2,80.6,82.6,74,1018,11.41,11.41
Tiarei,-17.53,-149.33,80.6,81.43,78,1012,14.99,14.99
Ginir,7.13,40.7,55.71,54.57,86,1014,2.93,2.93
Snezhnogorsk,69.19,33.25,37.4,30.29,86,993,6.71,6.71
Puerto Ayora,-0.74,-90.35,70.0,68.92,83,1012,11.01,11.01
Khatanga,71.97,102.5,-7.04,-17.99,90,1012,7.67,7.67
São Filipe,14.9,-24.5,76.71,79.16,82,1014,9.93,9.93
Durban,-29.86,31.03,70.21,75.54,88,1013,1.12,1.12
Hithadhoo,-0.6,73.08,82.94,89.22,71,1009,4.76,4.76
Margate,51.38,1.39,46.13,40.03,66,1041,5.44,5.44
Vardø,70.37,31.11,39.04,19.49,82,989,28.9,28.9
Changli,39.7,119.15,47.61,41.97,52,1022,3.38,3.38
Conceição do Coité,-11.56,-39.28,72.14,75.4,95,1014,8.32,8.32
Slave Lake,55.28,-114.77,30.2,20.59,63,1013,8.05,8.05
Maţāy,28.42,30.78,63.79,60.21,62,1017,6.76,6.76
Saint Paul Harbor,57.79,-152.41,30.2,18.9,50,1012,10.29,10.29
San Cristobal,7.77,-72.22,80.6,87.98,78,1012,3.36,3.36
Poros,37.5,23.45,62.33,58.1,51,1022,5.01,5.01
Chamba,32.57,76.13,54.19,46.33,39,1018,7.07,7.07
Mahébourg,-20.41,57.7,71.6,74.12,83,1018,5.82,5.82
Yulara,-25.24,130.99,73.4,63.66,43,1022,17.22,17.22
Sabang,5.89,95.32,80.83,88.3,77,1011,3.04,3.04
Talnakh,69.49,88.4,-5.8,-16.22,83,1003,6.71,6.71
Huánuco,-9.93,-76.24,64.45,62.91,65,1016,4.12,4.12
Sangar,63.92,127.47,-1.19,-11.65,92,1001,7.18,7.18
Sterling,39.01,-77.43,56.01,50.43,47,1030,4.7,4.7
Hanzhong,33.07,107.03,56.1,54.0,64,1020,1.32,1.32
Port Hedland,-20.32,118.57,89.6,84.27,25,1012,9.17,9.17
Guerrero Negro,27.98,-114.06,75.22,68.86,52,1014,14.83,14.83
Micheweni,-4.97,39.83,76.55,82.44,81,1012,3.33,3.33
Atikokan,48.76,-91.62,44.53,38.61,84,1008,6.58,6.58
Liverpool,53.41,-2.98,46.78,42.93,93,1039,4.7,4.7
Havre-St-Pierre,50.23,-63.6,24.8,15.82,79,1030,6.93,6.93
Una,20.82,71.03,75.56,73.9,48,1011,5.41,5.41
Wanxian,30.8,108.39,61.0,60.08,62,1020,0.81,0.81
Jamestown,42.1,-79.24,57.56,48.79,44,1025,10.29,10.29
Oranjemund,-28.55,16.43,61.79,61.66,90,1011,5.28,5.28
Nakambala,-15.83,27.78,68.85,69.22,60,1010,1.74,1.74
Ugoofaaru,5.67,73.0,81.64,87.42,68,1009,3.31,3.31
Pochutla,15.74,-96.47,84.2,85.48,66,1009,12.75,12.75
Leningradskiy,69.38,178.42,10.99,-0.22,87,1002,9.42,9.42
Vao,-22.67,167.48,72.99,74.91,83,1013,7.99,7.99
College,64.86,-147.8,-16.37,-23.96,68,1024,1.19,1.19
Dubbo,-32.25,148.62,62.6,54.59,72,1013,16.11,16.11
Kushmurun,52.45,64.63,34.81,25.21,88,1030,10.6,10.6
Fortuna,40.6,-124.16,64.9,61.48,82,1025,11.41,11.41
Kruisfontein,-34.0,24.73,66.0,69.44,91,1011,1.99,1.99
Ilulissat,69.22,-51.1,28.4,19.9,63,996,5.82,5.82
Poronaysk,49.22,143.12,33.8,21.09,77,1001,15.12,15.12
Katsuura,35.13,140.3,58.59,49.19,50,1024,12.75,12.75
Mar del Plata,-38.0,-57.56,60.69,52.25,67,1020,14.99,14.99
Hilo,19.73,-155.09,79.75,78.04,58,1015,11.41,11.41
Saint-Philippe,-21.36,55.77,66.97,64.92,63,1017,5.82,5.82
Hambantota,6.12,81.12,78.33,85.46,85,1010,4.14,4.14
Avera,33.19,-82.53,54.0,48.07,54,1029,5.82,5.82
Preobrazheniye,42.9,133.91,42.78,31.77,57,1020,12.37,12.37
Port Elizabeth,-33.92,25.57,66.2,65.95,93,1012,9.17,9.17
Dikson,73.51,80.55,1.81,-8.1,91,1013,6.4,6.4
Vanavara,60.34,102.28,18.64,10.0,97,1002,6.15,6.15
Anadyr,64.75,177.48,35.6,17.17,93,992,26.84,26.84
Bilibino,68.05,166.44,8.78,-0.63,91,994,6.11,6.11
Coldwater,41.94,-85.0,62.11,55.42,39,1021,6.93,6.93
Touros,-5.2,-35.46,80.6,82.69,78,1013,12.75,12.75
Kumul,42.8,93.45,36.0,29.19,68,1032,4.43,4.43
Kudahuvadhoo,2.67,72.89,82.02,89.55,73,1009,2.53,2.53
Hobart,-42.88,147.33,56.91,49.87,50,1017,8.05,8.05
Mossamedes,-15.2,12.15,67.15,65.08,73,1011,8.32,8.32
Omboué,-1.57,9.26,75.36,83.35,91,1011,1.72,1.72
Carauari,-4.88,-66.9,81.86,88.93,69,1007,1.59,1.59
Kidal,18.44,1.41,77.86,68.43,20,1014,10.8,10.8
Ossora,59.24,163.07,37.51,23.43,73,966,18.07,18.07
Mehamn,71.04,27.85,35.6,18.77,80,987,23.04,23.04
Dingle,11.0,122.67,78.06,85.33,88,1012,4.65,4.65
Necochea,-38.55,-58.74,64.99,55.83,52,1007,15.01,15.01
Moose Factory,51.26,-80.61,32.88,25.3,94,1013,6.93,6.93
Vila Franca do Campo,37.72,-25.43,57.09,50.92,87,1029,12.75,12.75
Isangel,-19.55,169.27,82.4,92.52,83,1012,2.24,2.24
Kapaa,22.08,-159.32,81.41,87.66,83,1015,8.05,8.05
Haimen,23.19,116.61,62.6,57.45,82,1019,13.06,13.06
Boueni,-12.9,45.08,77.0,83.03,88,1013,5.82,5.82
Kaitangata,-46.28,169.85,62.01,54.79,75,1003,15.01,15.01
Ballina,-28.87,153.57,79.77,80.22,61,1008,8.68,8.68
Tiksi,71.69,128.87,0.52,-8.61,94,1007,4.94,4.94
Puerto Escondido,15.85,-97.07,86.0,92.1,66,1009,5.82,5.82
Airai,-8.93,125.41,75.51,73.81,42,1013,3.53,3.53
Naryan-Mar,67.67,53.09,34.86,24.55,92,1007,12.17,12.17
Örnsköldsvik,63.29,18.72,39.2,30.06,80,1004,10.29,10.29
Iraray,8.99,118.05,81.46,88.65,77,1011,4.16,4.16
Riverton,40.52,-111.94,67.12,63.37,42,1028,3.89,3.89
Pitimbu,-7.47,-34.81,78.8,83.59,83,1014,8.05,8.05
Zvishavane,-20.33,30.07,68.92,69.64,76,1012,5.23,5.23
Aktash,50.3,87.73,9.01,0.59,93,1034,4.43,4.43
Artigas,-30.4,-56.47,58.87,51.28,67,1019,12.66,12.66
Reading,51.46,-0.97,32.45,27.68,100,1039,2.24,2.24
Severo-Kuril'sk,50.68,156.12,38.32,16.57,73,991,31.88,31.88
Laguna,38.42,-121.42,78.26,71.46,22,1022,6.93,6.93
Guiratinga,-16.35,-53.76,76.5,75.09,41,1010,3.13,3.13
Mount Gambier,-37.83,140.77,55.4,44.28,58,1024,16.11,16.11
Seymchan,62.88,152.43,-3.24,-12.89,89,995,5.57,5.57
Ambilobe,-13.2,49.05,68.36,69.21,72,1014,3.65,3.65
Bitung,1.45,125.18,80.6,88.27,83,1012,4.72,4.72
Alta Floresta,-9.88,-56.09,80.6,90.09,88,1009,3.36,3.36
Broome,42.25,-75.83,50.65,44.33,81,1026,9.17,9.17
Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,26.42,52,979,17.9,17.9
Ludwigsfelde,52.3,13.27,39.24,32.63,93,1035,6.93,6.93
Maceió,-9.67,-35.74,77.0,81.77,88,1013,8.05,8.05
Aketi,2.74,23.78,71.46,78.48,96,1009,1.32,1.32
Nālūt,30.33,10.85,63.14,56.1,42,1022,8.43,8.43
Olivenza,38.68,-7.1,52.0,46.11,94,1013,10.76,10.76
Junnar,19.2,73.88,66.79,65.16,58,1012,3.83,3.83
Abu Samrah,35.3,37.18,58.05,55.4,86,1008,6.85,6.85
Chanika,-5.42,38.02,63.99,67.87,98,1013,1.3,1.3
Salalah,17.02,54.09,71.6,72.54,60,1013,2.24,2.24
Kavieng,-2.57,150.8,78.78,87.04,85,1010,2.57,2.57
Magole,-6.37,37.37,71.6,77.02,88,1016,2.06,2.06
Provideniya,64.38,-173.3,37.4,25.25,86,1008,15.66,15.66
Muyezerskiy,63.93,31.65,39.47,30.67,81,1004,9.84,9.84
Guilin,25.28,110.29,62.6,64.24,88,1019,2.24,2.24
Rafaela,-31.25,-61.49,70.81,67.37,32,1014,1.99,1.99
Nikolskoye,59.7,30.79,43.77,37.11,75,1013,6.71,6.71
Tutóia,-2.76,-42.27,80.55,83.16,81,1011,12.88,12.88
Kahului,20.89,-156.47,84.43,81.05,46,1014,12.75,12.75
Umluj,25.02,37.27,73.65,69.89,54,1013,9.98,9.98
Aracaju,-10.91,-37.07,78.8,85.21,88,1013,6.93,6.93
Tamale,9.4,-0.84,82.27,82.38,46,1010,5.23,5.23
Acarí,-15.43,-74.62,65.8,64.58,66,1017,4.45,4.45
Cidreira,-30.18,-50.21,60.21,55.44,66,1021,8.05,8.05
Lüderitz,-26.65,15.16,60.64,58.21,88,1011,8.28,8.28
Atambua,-9.11,124.89,85.26,88.29,48,1012,2.75,2.75
Yining,29.04,114.56,56.82,55.26,66,1021,0.94,0.94
Torbay,47.67,-52.73,29.07,15.17,54,1029,14.99,14.99
Nanlong,31.35,106.06,57.76,55.49,66,1020,2.57,2.57
Coroatá,-4.13,-44.12,75.52,84.02,93,1011,1.63,1.63
Bathsheba,13.22,-59.52,80.6,81.84,74,1013,12.75,12.75
Bundaberg,-24.85,152.35,81.86,78.1,54,1012,14.99,14.99
Thames,-37.13,175.53,62.74,58.86,97,1010,14.0,14.0
Jacinto City,29.77,-95.23,69.62,64.04,73,1023,16.11,16.11
Erenhot,43.65,111.98,35.71,23.56,68,1017,13.87,13.87
Kloulklubed,7.04,134.26,84.2,93.85,79,1012,3.36,3.36
Becerril,9.7,-73.28,76.01,82.62,86,1009,3.2,3.2
Birao,10.28,22.79,74.14,71.22,38,1010,3.89,3.89
Sokoni,-6.43,39.55,75.06,77.14,88,1012,10.98,10.98
Bethel,41.37,-73.41,51.22,45.77,66,1030,5.82,5.82
Okhotsk,59.38,143.3,16.09,-1.93,90,985,22.19,22.19
Henties Bay,-22.12,14.28,60.01,60.69,88,1015,2.37,2.37
Zhezkazgan,47.8,67.71,28.83,21.49,84,1035,5.01,5.01
Sohag,26.56,31.69,64.4,59.65,52,1015,6.93,6.93
Rocha,-34.48,-54.33,50.68,46.67,88,1024,6.02,6.02
Houma,29.6,-90.72,68.04,63.1,49,1025,8.05,8.05
Hay River,60.82,-115.8,13.12,5.2,72,1019,3.36,3.36
Iqaluit,63.75,-68.51,1.4,-8.97,77,1017,6.93,6.93
Pingliang,35.54,106.69,46.58,43.92,78,1020,0.81,0.81
Lavrentiya,65.58,-171.0,33.06,18.72,95,1009,19.08,19.08
Tanhaçu,-14.02,-41.25,68.31,72.91,94,1015,2.42,2.42
Yashkul',46.17,45.34,50.02,44.19,56,1021,4.83,4.83
Qasigiannguit,68.82,-51.19,28.4,19.9,63,996,5.82,5.82
Nabire,-3.37,135.48,85.71,92.26,62,1012,2.98,2.98
Roald,62.58,6.13,47.25,29.52,87,1008,28.86,28.86
Meulaboh,4.14,96.13,76.1,82.35,86,1012,3.94,3.94
Maningrida,-12.07,134.27,89.55,93.54,50,1012,5.08,5.08
Kropotkin,45.44,40.58,50.11,42.39,60,1022,8.7,8.7
Pacific Grove,36.62,-121.92,65.95,63.5,72,1022,8.05,8.05
Batagay-Alyta,67.8,130.41,-6.5,-14.46,90,1004,2.39,2.39
Dunedin,-45.87,170.5,64.0,59.86,72,1002,10.0,10.0
Chifeng,42.27,118.96,38.1,30.52,65,1021,6.02,6.02
Pevek,69.7,170.31,8.26,1.94,85,999,0.43,0.43
East London,-33.02,27.91,68.45,66.9,85,1011,11.18,11.18
Amazar,53.86,120.88,18.03,11.26,87,1013,2.35,2.35
Saint George,37.1,-113.58,78.8,75.11,19,1023,0.49,0.49
Adrar,20.5,-10.07,81.18,73.96,16,1011,6.13,6.13
Abalak,58.13,68.59,32.49,23.4,96,1018,9.66,9.66
Ribeira Grande,38.52,-28.7,61.12,50.13,73,1032,20.87,20.87
Adolfo López Mateos,28.47,-107.3,65.03,54.95,28,1017,11.32,11.32
Port Hardy,50.7,-127.42,52.9,48.07,93,1002,9.17,9.17
Barrow,71.29,-156.79,26.6,11.53,63,1008,17.22,17.22
Gobabis,-22.45,18.97,65.43,57.2,32,1011,9.01,9.01
Ambam,2.38,11.28,68.43,74.35,98,1012,1.16,1.16
Rio Grande,-32.03,-52.1,57.99,50.58,79,1021,14.05,14.05
Turukhansk,65.82,87.98,4.03,-9.53,90,1002,13.02,13.02
Kandrian,-6.22,149.55,85.26,91.2,67,1011,5.86,5.86
Fort Nelson,58.81,-122.7,15.8,6.76,78,1011,5.82,5.82
Cradock,-32.16,25.62,65.19,66.07,67,1010,0.6,0.6
Sal Rei,16.18,-22.92,75.2,76.87,83,1014,10.29,10.29
Kathmandu,27.72,85.32,55.4,55.18,100,1017,3.36,3.36
Galesong,-5.32,119.37,83.7,88.59,70,1012,7.54,7.54
Esso,55.93,158.7,23.54,14.7,91,977,7.05,7.05
Altay,47.87,88.12,19.26,12.92,84,1036,1.63,1.63
Narsaq,60.92,-46.05,30.2,24.06,50,997,1.12,1.12
Morant Bay,17.88,-76.41,75.34,79.66,94,1012,9.17,9.17
Luangwa,-15.62,30.42,80.37,82.99,50,1009,1.16,1.16
Pithári,35.52,24.08,62.6,60.17,88,1021,9.46,9.46
Preston,53.77,-2.72,41.0,34.99,90,1036,6.15,6.15
Luena,-11.78,19.92,60.73,62.55,92,1012,1.54,1.54
Faanui,-16.48,-151.75,79.25,79.02,80,1012,16.33,16.33
Lakatoro,-16.1,167.42,84.2,91.38,74,1012,5.61,5.61
Abhā,18.22,42.51,58.87,55.9,62,1024,3.56,3.56
Arraial do Cabo,-22.97,-42.03,69.8,72.28,88,1016,5.82,5.82
Lata,40.16,-8.33,54.72,50.67,69,1014,5.01,5.01
Berdigestyakh,62.1,126.7,3.33,-6.39,94,1004,6.22,6.22
Hailar,49.2,119.7,20.26,10.36,96,1019,8.59,8.59
Portland,45.52,-122.68,65.68,59.23,72,1021,14.99,14.99
Areosa,41.72,-8.86,56.25,45.64,62,1014,16.11,16.11
San Quintín,30.48,-115.95,73.58,69.44,56,1015,11.21,11.21
Mangai,-4.05,19.53,70.29,77.2,98,1010,1.01,1.01
Norman Wells,65.28,-126.83,-5.8,-14.33,83,1018,3.36,3.36
Lieksa,63.32,30.02,41.97,30.36,77,1006,15.19,15.19
Muros,42.78,-9.06,54.0,46.96,62,1019,8.99,8.99
Lashio,22.93,97.75,62.69,66.42,100,1014,1.05,1.05
Leshukonskoye,64.9,45.76,37.98,30.47,93,1009,8.14,8.14
Bambous Virieux,-20.34,57.76,71.31,73.71,83,1018,5.82,5.82
Magadan,59.57,150.8,13.68,1.62,86,983,11.18,11.18
Te Anau,-45.42,167.72,62.02,60.75,78,1005,5.08,5.08
Shouguang,36.88,118.74,51.75,43.88,44,1024,7.25,7.25
Walvis Bay,-22.96,14.51,57.51,55.99,87,1014,4.7,4.7
Salinópolis,-0.61,-47.36,81.86,84.78,80,1011,13.29,13.29
Serebryansk,49.69,83.29,28.4,21.38,86,1034,4.47,4.47
Nsanje,-16.92,35.26,77.9,81.34,68,1011,4.45,4.45
Maracaju,-21.61,-55.17,73.62,71.01,42,1011,4.34,4.34
Orshanka,56.92,47.89,37.36,30.9,95,1025,6.26,6.26
Lastoursville,-0.81,12.73,72.82,80.29,95,1012,1.48,1.48
Xiangfan,32.04,112.14,59.38,55.92,50,1021,2.44,2.44
Rantauprapat,2.1,99.83,75.0,81.97,86,1012,1.66,1.66
Kirakira,-10.45,161.92,84.9,90.55,70,1011,7.34,7.34
Gravdal,68.12,13.5,43.7,19.17,90,983,39.95,39.95
Tautira,-17.73,-149.15,80.6,81.43,78,1012,14.99,14.99
Ürümqi,43.8,87.6,37.4,29.97,51,1033,4.47,4.47
Quatre Cocos,-20.21,57.76,71.29,73.69,83,1018,5.82,5.82
Nara,34.69,135.8,50.95,48.24,76,1027,2.24,2.24
Gal'bshtadt,53.23,78.98,34.32,19.78,85,1022,19.06,19.06
Beaverlodge,55.22,-119.44,26.6,15.1,73,1008,11.41,11.41
Codrington,-38.27,141.97,54.72,44.91,62,1024,14.16,14.16
Neyshabur,36.21,58.8,48.94,43.84,39,1020,1.1,1.1
Cururupu,-1.83,-44.87,78.03,84.94,85,1011,4.23,4.23
Grindavik,63.84,-22.43,42.8,31.66,81,1007,14.99,14.99
Kashgar,39.45,75.98,39.2,30.34,18,1024,4.47,4.47
Skopelos Town,39.12,23.72,55.99,55.49,80,1027,1.01,1.01
Păuneşti,46.03,27.1,36.01,31.82,100,1029,2.24,2.24
Mundo Nuevo (Ojo de Agua),18.7,-95.5,75.81,71.37,79,1019,20.4,20.4
Weiser,44.25,-116.97,64.58,58.51,25,1025,3.44,3.44
Kosh-Agach,50.0,88.67,5.14,-2.33,87,1034,2.24,2.24
Verkhnyaya Inta,65.98,60.31,35.44,24.04,91,1008,14.16,14.16
Orange Walk District,17.83,-88.83,75.42,79.79,94,1010,9.17,9.17
Pouembout,-21.13,164.9,81.09,83.88,63,1013,6.24,6.24
Castro,-24.79,-50.01,52.47,46.47,95,1017,11.32,11.32
Colares,38.8,-9.45,55.0,48.15,81,1009,11.99,11.99
St. George's,12.06,-61.75,80.6,85.96,78,1012,6.93,6.93
Cedar City,37.68,-113.06,71.6,63.79,17,1028,5.82,5.82
Severnoye,56.35,78.36,32.23,20.77,96,1013,13.82,13.82
Rundu,-17.93,19.77,73.27,72.5,55,1008,4.76,4.76
Fukuechō,32.69,128.84,50.0,46.49,87,1026,4.7,4.7
Markova,48.68,24.41,47.28,42.82,92,1029,5.88,5.88
Santiago del Estero,-27.8,-64.26,80.04,69.08,27,1009,16.62,16.62
Mahon,39.89,4.27,62.6,59.7,77,1024,8.05,8.05
Pangai,-19.8,-174.35,80.6,76.24,69,1016,20.8,20.8
Yangjiang,21.85,111.97,68.97,68.9,80,1018,7.67,7.67
Zhifang,30.35,114.32,60.8,55.35,63,1020,8.95,8.95
Klaksvík,62.23,-6.59,50.0,29.3,100,1014,36.91,36.91
Amahai,-3.33,128.92,82.71,91.26,74,1012,1.74,1.74
Sampit,-2.53,112.95,77.23,85.57,92,1012,3.29,3.29
Athens,37.98,23.72,61.05,56.75,63,1023,7.0,7.0
Cairns,-16.92,145.77,87.03,88.23,45,1013,5.82,5.82
Nanortalik,60.14,-45.24,31.87,18.05,89,993,17.45,17.45
Morehead,37.27,-87.18,60.87,54.86,47,1026,6.91,6.91
Safaga,26.73,33.94,71.6,64.24,40,1015,11.41,11.41
Chui,-33.7,-53.46,56.07,51.53,82,1024,8.5,8.5
Sulangan,11.14,123.72,80.55,87.69,80,1012,4.45,4.45
Thinadhoo,0.53,72.93,82.81,88.95,69,1009,4.12,4.12
Novoseleznëvo,55.68,69.21,33.73,23.05,91,1022,12.44,12.44
Arman',59.7,150.17,11.32,-2.54,87,983,14.16,14.16
Opuwo,-18.06,13.84,66.58,56.75,26,1010,10.76,10.76
Esperance,-33.87,121.9,57.2,50.56,67,1028,10.29,10.29
Zarubino,42.63,131.09,41.7,33.19,60,1020,7.99,7.99
Yurino,56.29,46.3,39.2,31.44,93,1026,8.95,8.95
La Palma,33.85,-118.05,78.21,73.76,47,1016,11.41,11.41
Lucea,18.45,-78.17,78.04,84.02,88,1012,6.93,6.93
Nemuro,43.32,145.57,42.8,34.32,70,1011,9.17,9.17
Nivala,63.92,24.97,37.0,31.1,93,1003,5.01,5.01
Iquitos,-3.75,-73.25,84.2,95.43,83,1008,2.24,2.24
Clyde River,70.47,-68.59,-0.4,-15.48,64,1004,14.99,14.99
Pachino,36.72,15.09,57.2,57.56,93,1024,2.24,2.24
Mogadishu,2.04,45.34,78.82,81.09,83,1011,12.53,12.53
Saint-Joseph,-21.37,55.62,66.61,64.45,63,1017,5.82,5.82
Husavik,66.04,-17.34,46.4,27.45,49,1000,26.4,26.4
Aklavik,68.22,-135.01,5.0,-5.15,84,1016,6.93,6.93
Geraldton,-28.77,114.6,77.0,70.12,36,1016,11.41,11.41
Tura,25.52,90.22,61.84,58.46,40,1012,1.16,1.16
Līgatne,57.23,25.04,44.01,38.53,88,1018,5.99,5.99
Tsimmerbude,54.67,20.13,46.4,38.82,93,1027,11.18,11.18
Todos Santos,23.45,-110.22,80.51,86.63,74,1010,4.0,4.0
Whitehorse,60.72,-135.05,0.86,-11.49,70,1007,10.29,10.29
Lagoa,39.05,-27.98,60.67,50.11,73,1032,19.89,19.89
Myitkyina,25.38,97.4,67.39,72.01,96,1014,2.13,2.13
Moundsville,39.92,-80.74,57.36,52.86,76,1026,8.05,8.05
Imeni Poliny Osipenko,52.42,136.49,16.74,8.69,87,1005,4.45,4.45
Kabanjahe,3.1,98.49,64.45,67.8,91,1012,1.07,1.07
Lincoln,40.8,-96.67,66.97,60.85,42,1015,8.05,8.05
Yashkino,55.87,85.43,30.2,17.28,92,1006,15.66,15.66
Chapais,49.78,-74.85,23.0,10.49,100,1019,13.87,13.87
Raja,8.46,25.68,73.04,72.52,49,1010,2.44,2.44
Atar,20.52,-13.05,80.91,75.94,16,1010,2.1,2.1
Solwezi,-12.17,26.39,61.14,62.26,93,1012,3.24,3.24
Pisco,-13.7,-76.22,64.24,65.1,88,1014,4.7,4.7
Taltal,-25.4,-70.48,58.53,56.88,76,1017,3.56,3.56
Abu Dhabi,24.47,54.37,74.43,78.69,78,1012,3.49,3.49
Mikhaylovka,50.06,43.24,41.11,33.8,75,1027,7.11,7.11
San Matías,-16.37,-58.4,81.99,76.24,22,1008,6.04,6.04
Yerbogachën,61.28,108.01,13.93,6.12,96,1005,3.96,3.96
Bandarbeyla,9.49,50.81,74.39,72.79,70,1012,11.43,11.43
Dongsheng,39.82,109.98,37.96,29.68,66,1021,7.31,7.31
Helena,46.59,-112.04,58.57,47.26,31,1022,12.75,12.75
Nioro,13.35,-15.75,76.87,81.19,76,1011,4.76,4.76
Miraflores,19.22,-98.81,69.8,61.27,26,1026,9.17,9.17
Synya,65.37,58.04,36.93,29.68,95,1011,7.54,7.54
Sesheke,-17.48,24.3,73.4,75.6,64,1013,2.24,2.24
Karoi,-16.81,29.69,69.37,69.57,70,1010,4.9,4.9
Alice Springs,-23.7,133.88,73.4,64.29,43,1022,16.11,16.11
Panama City,8.99,-79.52,80.6,85.33,78,1009,8.05,8.05
Innisfail,-17.53,146.03,88.0,87.44,29,1017,1.99,1.99
Raudeberg,61.99,5.14,47.08,28.44,93,1015,31.09,31.09
Laas,46.62,10.7,46.99,40.86,86,1029,8.05,8.05
