,Restaurant_Name,Inspection_Score,vp_total
0,MICKLE CHICKEN,100,0.0
1,TOM THUMB - JUICE BAR,100,0.0
2,BROOKDALE WHITE ROCK,97,3.0
3,CHURCH'S CHICKEN #201,100,0.0
4,PEAK PREPARATORY-PRIMARY SCHOOL,98,2.0
5,UCHI DALLAS,98,2.0
6,UNREFINED BAKERY,100,0.0
7,"FOODA, INC.",100,0.0
8,SHELL EMPIRE,97,3.0
9,DOLLAR GENERAL #852,96,4.0
10,JASON'S DELI,99,1.0
11,NOVA ACADEMY,100,0.0
12,LUNA PREPARATORY SECONDARY,100,0.0
13,LOS DOS REALES,99,1.0
14,TOM THUMB/ STARBUCKS,100,0.0
15,SONIC DRVE IN,95,5.0
16,COUNTRY BOY CONVENIENCE,95,5.0
17,"SHUCK N JIVE, INC",92,8.0
18,FOODLAND MARKET,96,4.0
19,WENDY'S #9780,80,20.0
20,RED CURRY THAI CUISINE,93,7.0
21,HOLIDAY INN EXPRESS & SUITES DALLAS WEST,96,4.0
22,TRUCKERS CAFE,86,14.0
23,CANVAS HOTEL - 6TH FLOOR,100,0.0
24,STARBUCKS COFFEE #3465,99,1.0
25,MCDONALDS,100,0.0
26,LUMIN EAST DALLAS COMMUNITY SCHOOL,100,0.0
27,DIBS (FL #2),94,6.0
28,CC YOUNG LEVEL 7 (SKILLED NURSING CAFE),100,0.0
29,NORTH CENTRAL SURGICAL CENTER KITCHEN,100,0.0
30,STONELEIGH HOTEL/EMPLOYEE CAFETERIA,97,3.0
31,W HOTEL-BANQUET KITCHEN,100,0.0
32,LOVER'S PIZZA & PASTA,97,3.0
33,TAQUERIA PANCHITO,100,0.0
34,ST MONICA'S SCHOOL CAFE'A,100,0.0
35,WENDY'S #8604,98,2.0
36,SANTA CRUZ BIOTECHNOLOGY BREAKROOM,93,7.0
37,CENTRAL MARKET GROCERY (SUSHI),100,0.0
38,MESQUITE ISD FOOD SERVICES,96,4.0
39,PANDA EXPRESS,100,0.0
40,LAKEWOOD CC MAIN BAR,100,0.0
41,MAPLE LAWN SCHOOL,100,0.0
42,VIDORRA,98,2.0
43,BAYLOR UNIVERSITY MED CTR DISHROOM,100,0.0
44,VERONA ITALIAN CAFE,100,0.0
45,BIG LOTS #4652,95,5.0
46,JACK IN THE BOX,73,27.0
47,SANDWICH & SALAD AREA,98,2.0
48,QUIK TRIP #933,91,9.0
49,GUCKENHEIMER SOUTH CAFETERIA (SATTELITE BREAK ROOM),92,8.0
50,CC YOUNG (LEVEL 5 CAFE),98,2.0
51,CENTRAL MARKET SCHOOL,100,0.0
52,ST PIUS X PAROCHIAL,97,3.0
53,CASHSAVER PRODUCE,97,3.0
54,ALBERTSON'S #4105 DELI,99,1.0
55,OLIVELLAS LAKEWOOD,99,1.0
56,DOLLAR TREE,99,1.0
57,CHIPOTLE MEXICAN GRILL,100,0.0
58,THE BOILING CRAB,100,0.0
59,NORTHWOOD HILLS ELEM,99,1.0
60,HAMPTON SHELL,98,2.0
61,THE HILLCREST OF NORTH DALLAS,98,2.0
62,JULIAN T SALDIVAR ELEM,100,0.0
63,TACO BELL,98,2.0
64,PLATINUM #3069 KITCHEN IN SEAT WEST/PLATINUM CLUB,98,2.0
65,CINEMARK IMAX,100,0.0
66,DAVIDS OAKCLIFF PIZZA,76,24.0
67,BUCKS WILD,95,5.0
68,CICI'S PIZZA,85,15.0
69,FISH AND TAILS OYSTER BAR (RESTAURANT),94,6.0
70,NATHAN ADAMS ELEMENTARY,97,3.0
71,TARGET GROCERY/PRODUCE,100,0.0
72,CANTINA LAREDO,0,0.0
73,ADVENTURE LANDING,97,3.0
74,TOM THUMB - CHEESE BAR,100,0.0
75,FAMOUS FAMIGLIA PIZZERIA,100,0.0
76,PHYSICIAN'S DINNING,100,0.0
77,HOCKADAY SCHOOL ATHLETIC FIELD CONCESSION,95,5.0
78,15742 TEXAS FOOD MART,99,1.0
79,SNAP KITCHEN,100,0.0
80,LAKEWOOD COUNTY CLUB,99,1.0
81,COMMISSARY @ 1217 MAIN (BASEMENT),100,0.0
82,IRON CACTUS MEXICAN GRILL,100,0.0
83,HARMONY MIDDLE SCHOOL CAFETERIA,100,0.0
84,IN-N-OUT BURGER #266,96,4.0
85,THE DOUGH DOUGH,99,1.0
86,GOLDEN RULE CHARTER SCHOOL,98,2.0
87,SAM'S CLUB #6372 BAKERY,100,0.0
88,HALL ARTS HOTEL (POOL BAR),100,0.0
89,HILLCREST CAFE,88,12.0
90,TAQUERIA DONA ELVA,94,6.0
91,ONE MAIN PLACE EMPLOYEE DINING - LEVEL B1,97,3.0
92,CVS PHARMACY,100,0.0
93,WILLIAMS FRIED CHICKEN,100,0.0
94,JOHN B HOOD JR HIGH,98,2.0
95,KFC,98,2.0
96,TOM THUMB #3582 BAKERY,100,0.0
97,ARAMARK AT METHODIST - STARBUCKS,100,0.0
98,BAYLOR CANCER CENTER (COFFEE SHOP),99,1.0
99,BURGER KING #5443,100,0.0
100,VIDORRA,100,0.0
101,TURNER AGASI CHARTER SCHOOL FACILITIES,100,0.0
102,URBAN TACO,95,5.0
103,HARMONY SCHOOL OF EXCELLENCE-DALLAS  CORRIDOR D,100,0.0
104,MCDONALDS,96,4.0
105,WHATABURGER #657,97,3.0
106,WAL-MART #2996 BAKERY,98,2.0
107,COSTCO WHOLESALE (FOOD COURT),100,0.0
108,EATZI'S BAKERY,100,0.0
109,FCG LAKE HIGHLANDS LLC dba FISH CITY GRILL,94,6.0
110,SIMCHA EVENT PLANNING INC,100,0.0
111,SAN JACINTO ELEMENTARY,100,0.0
112,FUEL TOWN FUEL CITY,96,4.0
113,HOT DONUTS & BAKERY,99,1.0
114,SHINSEI SUSHI BAR,96,4.0
115,NOVA ACADEMY,100,0.0
116,GUCKENHEIMER (MAIN CAFETERIA),100,0.0
117,LAKE HIGHLANDS TRACK/FIELD,98,2.0
118,AFC SUSHI,98,2.0
119,NATURE'S PLATE,100,0.0
120,JOULE BAR B,100,0.0
121,MASJID AL ISLAM DALLAS ANNEX,100,0.0
122,JIMMIE TYLER BRASHEAR ELEMENTARY,99,1.0
123,JUICENG HEALTH BAR,95,5.0
124,LA MICHOACANA (BAKERY),100,0.0
125,ADVANTAGE ACADEMY (SERVERY ONLY),99,1.0
126,BURGER KING #13572,100,0.0
127,BAYLOR UNIVERSITY MED CTR 17TH,100,0.0
128,MCDONALDS 07614,100,0.0
129,HOTEL ZAZA BANQUET KITCHEN,100,0.0
130,MEDIEVAL TIME (KITCHEN),95,5.0
131,PRIME NOW LLC,100,0.0
132,CHIPOTLE MEXICAN GRILL,97,3.0
133,CAMPISI'S PIZZA TOGO,100,0.0
134,AFC SUSHI @TOM THUMB #3650,98,2.0
135,ACADEMY,100,0.0
136,EL CENTRO COLLEGE CULINARY KITCHEN #2,97,3.0
137,MCDONALDS,100,0.0
138,YUMMI SUSHI,98,2.0
139,OUMI SUSHI @ SPROUTS 149,100,0.0
140,BAYLOR UNIVERSITY MED CTR PHYSICIANS,97,3.0
141,ANN RICHARDS MIDDLE SCHOOL,99,1.0
142,WB FERGUSON SHELL,99,1.0
143,MONTESSORI ACADEMY AT ONESIMO HERNANDEZ ELEMENTARY,100,0.0
144,HILTON DALLAS LINCOLN CENTRE - LOBBY BAR,96,4.0
145,ACADEMIA DE LA SALUD,95,5.0
146,WHITE ROCK ELEMENTARY,95,5.0
147,RESIDENCE INN/DALLAS MKT CENTER,100,0.0
148,YOU SAVE MART,100,0.0
149,THE LOFT,99,1.0
150,HATCHWAYS BAR,99,1.0
151,DANIEL WEBSTER ELEMENTARY,99,1.0
152,TOM FIELD ELEMENTARY SCH,97,3.0
153,STONELEIGH HOTEL/EMPLOYEE CAFETERIA,98,2.0
154,FRENCH GARDEN - DELI,100,0.0
155,TRINITY BASIN PREPARATORY,100,0.0
156,WHOLE FOODS MARKET (PREPARED FOODS & SUSHI),97,3.0
157,SAM'S CLUB #6372 MEAT/FISH,98,2.0
158,CVS PHARMACY,97,3.0
159,ALBERTSON'S #4289 GROCERY,100,0.0
160,W W HARLEE ELEMENTARY,100,0.0
161,WHOLE FOODS MARKET (FOOD COUNTER/ SALAD BARS),100,0.0
162,HONG KONG RESTAURANT,95,5.0
163,CHILOSO MEXICAN BISTRO,98,2.0
164,MEALS ON WHEELS,100,0.0
165,NANCY JANE COCHRAN ELEMENTARY,98,2.0
166,HOLIDAY INN EXPRESS & SUITES,97,3.0
167,EXPRESS SHOP,100,0.0
168,THE SALVATION ARMY - GYM CONCESSION,100,0.0
169,AFC SUSHI #2990,100,0.0
170,TACO BELL,96,4.0
171,HIGH 5 BURGER,88,12.0
172,TOM THUMB # 2990 BAKERY,100,0.0
173,SONIC,94,6.0
174,CHICK-FIL-A,98,2.0
175,GUTHRIE'S CATERING,95,5.0
176,MEDICAL CITY DALLAS,100,0.0
177,AFC SUSHI @TOM THUMB #3650,98,2.0
178,GUCHENHEIMER GRAB AND GO (JAVA TIME/STARBUCKS),100,0.0
179,PINE CREEK MEDICAL CNTR,100,0.0
180,SWEET TOOTH HOTEL,93,7.0
181,LA MICHOACANA MEAT MARKET GROCERY,97,3.0
182,BROOKDALE PRESTON,100,0.0
183,AMERICAN FOOD VENDING @ TI SC BLDG (CALL 214-789-1656),100,0.0
184,LULU MAE SLAUGHTER DINING,99,1.0
185,AMERICAN FOOD SERVICES @ TI SUPPORT BLDG  (CALL 214-789-1656,100,0.0
186,STREET'S FINE CHICKEN,97,3.0
187,OAK CLIFF BIBLE FELLOWSHIP,98,2.0
188,FIESTA MART #58 BAKERY,94,6.0
189,PLEASANT GROVE SCHOOL,99,1.0
190,HIGHLAND SPRINGS PUB RB 2.2,100,0.0
191,QUICKWAY FOOD MART,99,1.0
192,EUROMART,97,3.0
193,DALLAS BIBLE CHURCH KITCHEN,100,0.0
194,PECAN ROOM & TAVERN,96,4.0
195,THE ROSE CAFE,97,3.0
196,LAKEWOOD CC BAR I,100,0.0
197,SUBWAY,100,0.0
198,LOOK CINEMA,97,3.0
199,SUBWAY SANDWICH SHOP #2,95,5.0
200,MCDONALDS #4583,100,0.0
201,GEXA ENERGY PAVILION BLDG #R4,100,0.0
202,WILLIAMS CHICKEN,96,4.0
203,BOOMER JACK WINGS & GRILL,100,0.0
204,TOM THUMB #3597 DELI,100,0.0
205,STERLING HOTEL LOBBY BAR,100,0.0
206,HUNKY'S OLD FASHIONED HAMBURGERS,95,5.0
207,MCDONALD'S,100,0.0
208,CAFE MTV,100,0.0
209,SUBWAY #32444,100,0.0
210,PRESTON HOLLOW ELEMENTARY,98,2.0
211,CC YOUNG LEVEL 8 (SKILLED NURSING CAFE),100,0.0
212,4 SEASONS FOOD MART,97,3.0
213,GEGOL CAFE & GROCERY,100,0.0
214,PANINI BAKERY,99,1.0
215,CINEMARK (WEST PARTY ROOM),96,4.0
216,CHIPOTLE MEXICAN GRILL,95,5.0
217,VERACRUZ CAFE,100,0.0
218,HUNT'S FOOD STORE,95,5.0
219,"KITCHEN ""D"" (BANQUET ROOM 42FLR)",100,0.0
220,GUCKENHEIMER SOUTH CAFETERIA (SATTELITE BREAK ROOM),100,0.0
221,CENTRAL MARKET GELATO,97,3.0
222,RESIDENCE INN BY MARRIOTT,100,0.0
223,W T C SUNDRIES SHOP,100,0.0
224,COLUMBIA HOSPITAL CAFETERIA - BLDG A,100,0.0
225,ARLINGTON PARK,100,0.0
226,TENET HEALTH CARE SYSTEMS,99,1.0
227,DOCTORS BISTRO,100,0.0
228,CHICK-FIL-A,100,0.0
229,SALVATION ARMY #1122 UPSTAIRS,100,0.0
230,INFUSION BEER & WINE,98,2.0
231,LEVEL TWO,100,0.0
232,MOVIES 17 CONCESSION #2,96,4.0
233,WHOLE FOODS MARKET (BBQ),100,0.0
234,UTOPIA FOOD & FITNESS,100,0.0
235,PIZZA PATRON,100,0.0
236,FIRST FLOOR SPECIALTY KITCHEN,99,1.0
237,LA MICHOACANA MEAT MARKET-MEAT MARKET,98,2.0
238,KFC,94,6.0
239,FUJISAN SUSHI,100,0.0
240,7-ELEVEN #38461A,100,0.0
241,MCDONALDS,99,1.0
242,LEE'S DONUT,98,2.0
243,WHATABURGER #604,99,1.0
244,POTBELLY SANDWICH WORKS,97,3.0
245,SMOOTHIE KING,100,0.0
246,JOHN W CARPENTER SCH,99,1.0
247,99 CENTS ONLY STORE,96,4.0
248,SNAP KITCHEN,98,2.0
249,PANDA EXPRESS,97,3.0
250,ARTHUR KRAMER ELEMENTARY,97,3.0
251,W W HARLEE ELEMENTARY,100,0.0
252,SHINJUKU SUSHI,100,0.0
253,GUCKENHEIMER SOUTH CAFETERIA (SATTELITE BREAK ROOM),98,2.0
254,JIMMY JOHNS GOURMET SANDWICH,98,2.0
255,AMPHITHEATRE BLDG #L1,97,3.0
256,LOOK CINEMAS - UPSTAIRS BAR,100,0.0
257,HOTEL ZAZA EMPLOYEE CAFETERIA,100,0.0
258,CHICK-FIL-A,100,0.0
259,ST AUGUSTINE CATHOLIC CHU,100,0.0
260,PRESBYTERIAN HOSPITAL - HAMON TOWER,100,0.0
261,TEXAS RANGERS MLB URBAN YOUTH ACADEMY,100,0.0
262,SALAZAR ELEMENTARY,98,2.0
263,JC'S PHILLY CHEESESTEAK,96,4.0
264,MCDONALDS,100,0.0
265,EL CENTRO COLLEGE CULINARY KITCHEN #6,98,2.0
266,SAM'S CLUB CAFE,100,0.0
267,FA13736 CAFE ON THE GREEN KIOSK,95,5.0
268,HOTEL CRESCENT COURT (BANQUETS),95,5.0
269,NORTH DALLAS HIGH SCHOOL,100,0.0
270,YUMMI SUSHI,100,0.0
271,AZETCA MEXICAN BAKERY,98,2.0
272,WHICH WICH,100,0.0
273,GUCKENHEIMER (MAIN CAFETERIA),99,1.0
274,NEVERIA Y FRUTERIA LA FRESITA,95,5.0
275,DALLAS BIBLE CHURCH COFFEE HOUSE,100,0.0
276,SPORTS BAR,100,0.0
277,SUBWAY,100,0.0
278,EL PAISA COCINA MEXICANA,94,6.0
279,CENTRAL MARKET (FOOD SERVICE I),99,1.0
280,URBAN PARK ELEMENTARY,96,4.0
281,MESO MAYA - 2ND FLOOR,100,0.0
282,MOMO'S PASTA,97,3.0
283,CVS PHARMACY #7412,100,0.0
284,SUBWAY,98,2.0
285,KROGER #689 BAKERY,97,3.0
286,KROGER STARBUCKS,95,5.0
287,RONALD E MCNAIR ELEM SCH,98,2.0
288,BOBO CHINA,88,12.0
289,GORDITAS LOS COMALES,97,3.0
290,KNIGHT ELEMENTARY,100,0.0
291,MARKET PLACE,93,7.0
292,THE RESERVE OF NORTH DALLAS,99,1.0
293,FRESHII,94,6.0
294,DOLLAR TREE,97,3.0
295,ABUGEDA GROCERY,100,0.0
296,AMPHITHEATRE BLDG #L2,100,0.0
297,GREAT EAST CAMPUS,97,3.0
298,ACADEMY,100,0.0
299,JACK IN THE BOX #749,98,2.0
300,LA GOURMET PIZZA,94,6.0
301,WOLFGANG PUCK CATERING-PASTRY KITCHEN 3RD FLR,99,1.0
302,TACO BELL #1331,100,0.0
303,SHAPE UP,100,0.0
304,LAKEWOOD CC LADIES' CARDROOM,100,0.0
305,HIGHLAND MEADOWS ELEM SCH,95,5.0
306,ADELFA BOTELLO CALLEJO,100,0.0
307,SPORTS PAGE LOBBY BAR- DOUBLE TREE LOVEIELD,100,0.0
308,KFC/ TACO BELL,100,0.0
309,RAISING CANE'S RESTAURANT #295,100,0.0
310,RAUL S. QUINTANILLA SR.  MIDDLE SCHOOL STEAM ACADEMY,100,0.0
311,JIMMY JOHN'S SANDWICHES,97,3.0
312,FA13736 CAFE ON THE GREEN KIOSK,100,0.0
313,COLUMBIA HOSPITAL AT MEDICAL CITY - PHYSICIAN LOUNGE,100,0.0
314,7-ELEVEN CONVENIENCE STORE #12202B,97,3.0
315,LAKEHILL PREP SCHOOL,100,0.0
316,COMERICA BANK - FLOOR #3,100,0.0
317,JACK LOWE ELEMENTARY,98,2.0
318,T BAR M RACQUET POOLS,95,5.0
319,CC YOUNG (ADULT DAY CARE LEVEL 1),100,0.0
320,PRIMO BROTHERS PIZZA,95,5.0
321,AMPHITHEATRE BLDG #R3,97,3.0
322,WHOLE FOODS MARKET- SPECIALTY,98,2.0
323,WAL-MART #5889,97,3.0
324,DALLAS BIBLE CHURCH KITCHEN,100,0.0
325,QUIKTRIP 3904,100,0.0
326,GEORGE B DEALEY,100,0.0
327,ZAN WESLEY HOLMES JR. MIDDLE,100,0.0
328,KFC,100,0.0
329,ARAMARK AT METHODIST - SATELLITE/WEISS BUILDING/BANQUET,100,0.0
330,ACCENT FOOD SERVICES-3RD FLOOR-TRINITY,98,2.0
331,VALERO CORNER STORE,100,0.0
332,ARAMARK AT METHODIST - SPECIALS KITCHEN,98,2.0
333,CC YOUNG MEMORIAL HOME,99,1.0
334,FIRST WATCH,95,5.0
335,MEDIEVAL TIMES DINNER & TOURNAMENT - SOUTH BAR,99,1.0
336,HARMONY SCIENCE ACADEMY,100,0.0
337,STIRR,100,0.0
338,EXPERIENCE FLOURISH,100,0.0
339,LAKEWOOD ELEM SCHOOL,100,0.0
340,EDWARD TITCHES ELEMENTARY,99,1.0
341,AMERICAN FOOD VENDING - TI S BLDG M18 (CALL 214-789-1656),100,0.0
342,CENTRAL MARKET GROCERY,100,0.0
343,CHIPOTLE MEXICAN GRILL,100,0.0
344,STARBUCKS COFFEE #6390,97,3.0
345,COMFORT SUITES,98,2.0
346,NEW JEREMY'S FOOD STORE,98,2.0
347,BURGER KING,95,5.0
348,JACK IN THE BOX #3781,98,2.0
349,ZION LUTHERAN SCHOOL,100,0.0
350,EL MICHOACANO RESTAURANTE,94,6.0
351,FIESTA MART CHEESE SHOP,85,15.0
352,CINEMARK (EAST PARTY ROOM),98,2.0
353,MARISCOS LA REYNA,100,0.0
354,JAMBA JUICE,97,3.0
355,URBAN YOUTH ACADEMY,100,0.0
356,MURPHY'S DELI,99,1.0
357,CASA VIEW ELEMENTARY,99,1.0
358,AREPA TX,86,14.0
359,RODRIGUEZ MEXICAN GRILL,96,4.0
360,QUIKTRIP #932,98,2.0
361,CHICK-FIL-A,99,1.0
362,ORAN M ROBERTS ELEMENTARY,99,1.0
363,"JUPITER, INC",97,3.0
364,EMMETT CONRAD HIGH SCHOOL,100,0.0
365,MARKET HALL CONCESS AREA,100,0.0
366,SHAPE UP,97,3.0
367,WAL-MART #2996 SEAFOOD/MEAT,98,2.0
368,CVS PHARMACY,96,4.0
369,FIRESIDE PIES,96,4.0
370,TACO CABANA #191,94,6.0
371,SUSHIBOX-SC8248,100,0.0
372,MCHS PHYSICIAN LOUNGE,100,0.0
373,MCHS COFFEE SHOP SOUTH,100,0.0
374,SEAGOVILLE HIGH SCHOOL,97,3.0
375,HILTON DALLAS LINCOLN CENTRE - L'EXPRESS,100,0.0
376,CHICK-FIL-A,100,0.0
377,EDGEMERE SERVING PANTRY ROOM LEVEL 3 NORTH,98,2.0
378,HALL'S HONEY FRIED CHICKEN,98,2.0
379,ANNIE BLANTON ELEMENTARY,96,4.0
380,GREAT OUTDOORS SUB SHOP,95,5.0
381,SONIC DRIVE-IN,98,2.0
382,MCDONALDS #4777,99,1.0
383,WHITE ROCK NUTRITION,100,0.0
384,BIG AL'S SMOKEHOUSE,97,3.0
385,JIM BILHARTZ JR ELEM SCH,100,0.0
386,OJOS LOCOS SPORTS CANTINA,97,3.0
387,ST. ROCCO'S,99,1.0
388,LIBERTY BURGER,96,4.0
389,SUDIE L WILLIAMS TALENTED AND GIFTED ACADEMY,100,0.0
390,HOTEL ZAZA DRAGONFLY,99,1.0
391,FRULLATI #2105,98,2.0
392,DISCOUNT FOOD BEER & WINE,99,1.0
393,FIESTA MART #58 BAKERY,96,4.0
394,SISHI DE HANDROLL,98,2.0
395,SUPER TIENDA GUANACO EXP,100,0.0
396,SMOKE STACC,100,0.0
397,JACK IN THE BOX,96,4.0
398,TOM THUMB #3597 GROCERY,100,0.0
399,MAGNOLIA CONVENIENCE,95,5.0
400,COVANCE INC,100,0.0
401,LEVEL TWO,99,1.0
402,CAMPISI'S BAR,100,0.0
403,CAMBRIA HOTEL & SUITES (BAR & GROCERY),100,0.0
404,GREAT AMERICAN COOKIES & MARBLE SLAB CREAMERY,98,2.0
405,FIRST PRESBYTERIAN CHURCH,98,2.0
406,G TEXAS CATERING,100,0.0
407,99 CENTS ONLY,100,0.0
408,CITY CAFE & BAKERY,100,0.0
409,AMPHITHEATRE BLDG #R3,97,3.0
410,TOM THUMB #3582 MEAT,100,0.0
411,WENDY'S,94,6.0
412,TRIUMPH PREPARATORY PRIMARY,100,0.0
413,POLLO CAMPERO,99,1.0
414,EL POLLO LOCO,98,2.0
415,TACO CABANA #703,99,1.0
416,STATE FAIR OF TEXAS,100,0.0
417,ENCHILADA'S,97,3.0
418,TOM THUMB - SUSHI,100,0.0
419,GUCKENHEIMER (MAIN CAFETERIA),96,4.0
420,STERLING HOTEL THE GREENWAY,100,0.0
421,COLUMBIA HOSPITAL CAFETERIA - BLDG E,100,0.0
422,CARMINE'S PIZZERIA,99,1.0
423,JUSTIN F KIMBALL H S,100,0.0
424,TOM THUMB - SUSHI,97,3.0
425,WAL-MART SUPERCENTER #2427-MEAT,100,0.0
426,DAN'S SEAFOOD & CHICKEN,92,8.0
427,PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,96,4.0
428,FIESTA MART #32 TAQUERIA,97,3.0
429,16232 CRAZY BROTHERS,89,11.0
430,STARBUCKS COFFEE #677,100,0.0
431,60 VINES (BAR IN GREENHOUSE),100,0.0
432,TOM THUMB-SUSHI,100,0.0
433,KATY TRAIL ICE HOUSE - DISH AREA,100,0.0
434,DOC POPCORN,100,0.0
435,CHEESE BAR,92,8.0
436,EL PORTON DE SAN AGUSTIN BAKERY,94,6.0
437,LUCKY'S,89,11.0
438,WINNETKA ELEMENTARY SCHOOL,97,3.0
439,ALFREDO'S PIZZA & PASTA,91,9.0
440,COURTYARD (12th FLOOR),100,0.0
441,FAMILY DOLLAR #5937,100,0.0
442,SUSHI YA RESTAURANT,86,14.0
443,JERSEY MIKE'S SUBS,83,17.0
444,TOM THUMB - DELI,97,3.0
445,ADVANTAGE ACADEMY (SERVERY ONLY),97,3.0
446,GREENSPOT MARKET & FUELS,96,4.0
447,DAILY STOP,89,11.0
448,CHILI'S GRILL & BAR #25,93,7.0
449,FORMOSA EXPRESS,90,10.0
450,KOZY,88,12.0
451,GODIVA CHOCOLATIER,97,3.0
452,LA PAISANITA TACOS,95,5.0
453,KIEST FOOD MART,98,2.0
454,RESTAURANT LEYLITA #2,86,14.0
455,A1 C STORE,96,4.0
456,CULINAIRE INTERNATIONAL,82,18.0
457,THELMA RICHARDSON ELEM SCHOOL,99,1.0
458,STARBUCKS COFFEE COMPANY,100,0.0
459,FIVE GUYS BURGERS AND FRIES,95,5.0
460,GOLDEN CHICK,90,10.0
461,CVS,97,3.0
462,PALETERIA SAN MARCOS,89,11.0
463,WILLIAMS CHICKEN,90,10.0
464,APPLEBEE'S,85,15.0
465,LA SALSA VERDE TAQUERIA,84,16.0
466,OAK CLIFF BIBLE FELLOWSHIP (BLDG A),98,2.0
467,DANIEL WEBSTER ELEMENTARY,99,1.0
468,WOK N GO,84,16.0
469,"SAVORY CATERING, LP",98,2.0
470,ANATOLE HOTEL (BANQUET KITCHEN),100,0.0
471,SUNSET HIGH SCHOOL,100,0.0
472,KWIK SAVE MART,86,14.0
473,LA PANADERIA CHICHEN-ITZA,88,12.0
474,LA MADELINE FRENCH BAKERY,93,7.0
475,TACO CABANA #265,74,26.0
476,ROTI BISTRO GRILL,96,4.0
477,CC YOUNG (LEVEL 2 CAFE),98,2.0
478,GINGHIS DONUTS & LUNCH,85,15.0
479,SLEEP INN DALLAS,94,6.0
480,HARRYHINES SHELL,85,15.0
481,LA MICHOACANA TAQUERIA,100,0.0
482,RACETRAC PETROLEUM #393,94,6.0
483,CEDAR SOCIAL CONTAINER BAR,97,3.0
484,CRISWELL COLLEGE MAIN KITCHEN,95,5.0
485,DOUGH BRO'S ITALIAN KITCHEN,90,10.0
486,THE BENTLEY,93,7.0
487,FIESTA MART #212 (DELI),97,3.0
488,SEVAN G&G AMERICAN MEDITERRANEAN CAFE,88,12.0
489,ELLEN'S SOUTHERN KITCHEN,92,8.0
490,PASTELERIA UNIVERSO,92,8.0
491,HARBORCHASE OF THE PARK CITIES-2ND FLOOR SERVER,100,0.0
492,EL PATRON SPORTS BAR,95,5.0
493,DENNY'S,93,7.0
494,TEXAS DAIQUIRI'S,95,5.0
495,THE CRAB STATION,87,13.0
496,CEDAR & VINE,97,3.0
497,SI LOM THAI ASIAN FUSION,90,10.0
498,ASCENSION COFFEE,93,7.0
499,CHARCO BROILER STEAK,90,10.0
500,THE OCEANAIRE,90,10.0
501,PANDA EXPRESS #1819,94,6.0
502,FAST FURIOUS,80,20.0
503,AMPHITHEATRE BLDG #R1,100,0.0
504,EXPRESS SHOP,98,2.0
505,EATZI'S DELI,97,3.0
506,MALIBU BAR,94,6.0
507,EATZI'S GROCERY (COFFEE),96,4.0
508,SEVY'S GRILL,96,4.0
509,NICK & SAM'S GRILL,87,13.0
510,ARAMARK @ BAYLOR SCHOOL OF NURSING: CALL (972-576-9168),97,3.0
511,BAYLOR CANCER CENTER KITCHEN DINING SERVERY,96,4.0
512,SCHLOTZSKYS,87,13.0
513,STARBUCKS COFFEE #10648,96,4.0
514,MEDRANO ELEMENTARY SCHOOL,100,0.0
515,W H ADAMSON HIGH SCHOOL,97,3.0
516,COMFORT INN & SUITES,95,5.0
517,J G'S HAMBURGERS,100,0.0
518,THE HILLCREST OF NORTH DALLAS,94,6.0
519,THE MERIDIAN AT KESSLER PARK (KITCHEN),84,16.0
520,POPEYE'S,90,10.0
521,AMERICAN LEGION POST #453,97,3.0
522,WM H ATWELL JR HIGH,100,0.0
523,FIRST WATCH,95,5.0
524,ANATOLE HOTEL (GOSSIP BAR),98,2.0
525,CAVA MEZZA GRILL,90,10.0
526,WILLIAMS CHICKEN #19,92,8.0
527,AFC SUSHI,97,3.0
528,JERRY'S SUPERMARKET,88,12.0
529,THE AMERICAN LEGION WYNNEWOOD POST #511,80,20.0
530,TACO BELL,96,4.0
531,BELMONTS CAFE ON BACHMAN CREEK,99,1.0
532,HARMONY ELEMENTARY CAFETERIA,100,0.0
533,STERLING HOTEL BANQUET,100,0.0
534,PAISANITA TAQUERIA,83,17.0
535,PALETERIA MICHOCANA,92,8.0
536,SMOKEY JOHNS' BBQ,88,12.0
537,RED LOBSTER #0884,96,4.0
538,ACCENT FOOD SERVICES @ CORAM PROPERTY,100,0.0
539,FAMILY PANCAKE HOUSE RESTAURANT,99,1.0
540,DICKEY'S BBQ,97,3.0
541,BIRRIERIA AGUINAGA,88,12.0
542,SOUTH BUCKNER FOOD MART,83,17.0
543,WW SAMUELL HIGH SCHOOL,100,0.0
544,AMPHITHEATRE BLDG #L3,99,1.0
545,KWIK SAVE MART,87,13.0
546,MARISCO LA REYNA #5,95,5.0
547,WENDY'S #2019,90,10.0
548,TEXACO S&A FOOD MART,90,10.0
549,LUCIANOS AT THE GALLERIA,91,9.0
550,TOP POT DOUGHNUTS,92,8.0
551,THE STANDARD POUR,83,17.0
552,DENNIS WATER & BEER WINE,96,4.0
553,GREAT EAST CAMPUS,97,3.0
554,YUMMI SUSHI,98,2.0
555,LUCKY RICE,80,20.0
556,MINIT MART,85,15.0
557,POKE BOP,94,6.0
558,EL PULPO RESTAURANT,96,4.0
559,LUNA PREPARATORY PRIMARY,97,3.0
560,SUBWAY SANDWICHES,94,6.0
561,WOLFGANG PUCK CATERING-DOCK AREA,99,1.0
562,JACK IN THE BOX #748,96,4.0
563,WINGSTOP,99,1.0
564,WHATABURGER #604,99,1.0
