Year,Country,Life_Expectancy,Region,Income_Group,Alcohol,BMI,HIV_AIDS,Measles,Schooling,Healthcare_Expenditure
2002,Algeria,71.6,Middle East & North Africa,Lower middle income,0.36,46.1,0.1,5862,11.1,148.5119843
2001,Algeria,71.4,Middle East & North Africa,Lower middle income,0.23,45.3,0.1,2686,10.9,147.9860714
2000,Algeria,71.3,Middle East & North Africa,Lower middle income,0.25,44.4,0.1,0,10.7,154.4559436
2013,Angola,51.1,Sub-Saharan Africa,Lower middle income,8.1,22.1,2.3,8523,11.4,35.95857279
2014,Angola,51.7,Sub-Saharan Africa,Lower middle income,8.33,22.7,2,11699,11.4,23.965612
2012,Angola,56,Sub-Saharan Africa,Lower middle income,8.24,21.5,2.6,4458,10.3,256.1225243
2011,Angola,51,Sub-Saharan Africa,Lower middle income,8.06,21,2.5,1449,9.4,239.8913921
2010,Angola,49.6,Sub-Saharan Africa,Lower middle income,7.8,2.4,2.5,1190,9,191.6537407
2009,Angola,49.1,Sub-Saharan Africa,Lower middle income,7.01,19.8,2.5,2807,8.5,212.9229325
2008,Angola,48.7,Sub-Saharan Africa,Lower middle income,7.07,19.3,2.6,265,8.1,249.9101958
2007,Angola,48.2,Sub-Saharan Africa,Lower middle income,6.35,18.8,2.6,1014,7.7,184.8213446
2006,Angola,47.7,Sub-Saharan Africa,Lower middle income,5.84,18.2,2.5,765,7.2,25.08688824
2005,Angola,47.4,Sub-Saharan Africa,Lower middle income,5.04,17.7,2.6,258,6.8,98.19145117
2004,Angola,47.1,Sub-Saharan Africa,Lower middle income,3.53,17.2,2.5,29,6.4,8.8667775
2003,Angola,46.8,Sub-Saharan Africa,Lower middle income,3.49,16.8,2.4,1196,5.9,35.93349121
2002,Angola,46.5,Sub-Saharan Africa,Lower middle income,2.82,16.3,2.3,11945,5.5,24.037942
2001,Angola,45.7,Sub-Saharan Africa,Lower middle income,2.58,15.8,2.1,9046,5.1,30.35993647
2000,Angola,45.3,Sub-Saharan Africa,Lower middle income,1.85,15.4,2,2219,4.6,15.88149254
2006,AntiguaandBarbuda,74.8,Latin America & Caribbean,High income,8.93,42,0.1,0,14.7,216.3146941
2007,AntiguaandBarbuda,75,Latin America & Caribbean,High income,8.64,42.6,0.1,0,14.5,257.9665308
2008,AntiguaandBarbuda,75.2,Latin America & Caribbean,High income,8.27,43.2,0.1,0,14.4,180.7762695
2009,AntiguaandBarbuda,75.4,Latin America & Caribbean,High income,7.82,43.8,0.1,0,14.2,149.3587355
2011,AntiguaandBarbuda,75.7,Latin America & Caribbean,High income,7.84,45.1,0.1,0,14.1,1810.875316
2010,AntiguaandBarbuda,75.6,Latin America & Caribbean,High income,7.84,44.4,0.1,0,14.1,1983.956937
2014,AntiguaandBarbuda,76.2,Latin America & Caribbean,High income,8.56,47,0.2,0,13.9,2422.999774
2013,AntiguaandBarbuda,76.1,Latin America & Caribbean,High income,8.58,46.4,0.2,0,13.9,1991.430372
2012,AntiguaandBarbuda,75.9,Latin America & Caribbean,High income,8.18,45.7,0.2,0,13.8,2156.229842
2003,AntiguaandBarbuda,74.2,Latin America & Caribbean,High income,7.16,4.1,0.1,0,0,1158.065259
2002,AntiguaandBarbuda,74,Latin America & Caribbean,High income,7.21,39.5,0.1,0,0,927.4075855
2000,AntiguaandBarbuda,73.6,Latin America & Caribbean,High income,7.27,38.2,0.1,0,0,1127.74347
2004,AntiguaandBarbuda,74.4,Latin America & Caribbean,High income,7.28,4.8,0.1,0,0,22.86295206
2001,AntiguaandBarbuda,73.8,Latin America & Caribbean,High income,7.51,38.9,0.1,0,0,163.7676978
2005,AntiguaandBarbuda,74.6,Latin America & Caribbean,High income,8.15,41.4,0.1,0,0,1455.608186
2014,Argentina,76.2,Latin America & Caribbean,Upper middle income,7.93,62.2,0.1,1,17.3,847.3717463
2013,Argentina,76,Latin America & Caribbean,Upper middle income,8.28,61.6,0.1,0,17.3,1001.796332
2012,Argentina,75.9,Latin America & Caribbean,Upper middle income,8.35,61,0.1,2,17.2,1133.558003
2011,Argentina,75.7,Latin America & Caribbean,Upper middle income,8.11,6.4,0.1,3,17.1,1504.329462
2010,Argentina,75.5,Latin America & Caribbean,Upper middle income,8.15,59.8,0.1,17,16.8,187.610955
2009,Argentina,75.6,Latin America & Caribbean,Upper middle income,8.33,59.2,0.1,3,16.5,1398.042623
2003,Argentina,74.1,Latin America & Caribbean,Upper middle income,7.62,55.7,0.1,0,16.4,57.58467352
2005,Argentina,74.9,Latin America & Caribbean,Upper middle income,7.53,56.9,0.1,0,16.3,96.16653429
2004,Argentina,74.7,Latin America & Caribbean,Upper middle income,7.63,56.3,0.1,0,16.3,719.3663797
2002,Argentina,74.1,Latin America & Caribbean,Upper middle income,7.81,55.1,0.1,0,16.3,470.1869145
2007,Argentina,74.8,Latin America & Caribbean,Upper middle income,8.16,58,0.1,0,16.3,1105.659031
2008,Argentina,75.4,Latin America & Caribbean,Upper middle income,8.41,58.6,0.1,0,16.3,1413.73543
2006,Argentina,75.2,Latin America & Caribbean,Upper middle income,7.75,57.5,0.1,0,16.1,961.1774676
2001,Argentina,74,Latin America & Caribbean,Upper middle income,7.76,54.6,0.1,0,15.6,123.0128671
2000,Argentina,74.1,Latin America & Caribbean,Upper middle income,7.68,54,0.1,6,15,1349.025282
2013,Armenia,74.4,Europe & Central Asia,Upper middle income,3.79,53.3,0.1,10,12.7,279.4290812
2012,Armenia,74.4,Europe & Central Asia,Upper middle income,3.89,52.6,0.1,0,12.7,274.1526986
2014,Armenia,74.6,Europe & Central Asia,Upper middle income,3.91,54.1,0.1,13,12.7,295.6087143
2011,Armenia,73.9,Europe & Central Asia,Upper middle income,4.09,51.9,0.1,0,12.7,260.9963826
2008,Armenia,73.2,Europe & Central Asia,Upper middle income,3.96,5.1,0.1,0,12.3,2.8888979
2010,Armenia,73.5,Europe & Central Asia,Upper middle income,4.23,51.2,0.1,2,12.3,224.3212014
2009,Armenia,73.3,Europe & Central Asia,Upper middle income,3.96,5.7,0.1,0,11.9,201.1855461
2007,Armenia,73.5,Europe & Central Asia,Upper middle income,3.99,49.7,0.1,1,11.7,44.57219966
2000,Armenia,72,Europe & Central Asia,Upper middle income,2.9,47.1,0.1,15,11.2,32.75626853
2006,Armenia,72.9,Europe & Central Asia,Upper middle income,4.01,49.2,0.1,137,11.2,244.5352767
2001,Armenia,72.6,Europe & Central Asia,Upper middle income,2.86,47.4,0.1,69,11.1,53.19373012
2004,Armenia,73,Europe & Central Asia,Upper middle income,3.81,48.4,0.1,1783,10.9,97.74087744
2005,Armenia,73,Europe & Central Asia,Upper middle income,4.25,48.8,0.1,2281,10.9,20.21822828
2002,Armenia,72.6,Europe & Central Asia,Upper middle income,2.86,47.8,0.1,40,10.8,57.17810403
2003,Armenia,72.7,Europe & Central Asia,Upper middle income,3.03,48.1,0.1,4,10.8,7.341493148
2004,Australia,86,East Asia & Pacific,High income,9.84,6.9,0.1,70,20.7,588.568371
2003,Australia,83,East Asia & Pacific,High income,9.97,6.3,0.1,91,20.6,3829.550928
2001,Australia,79.9,East Asia & Pacific,High income,9.53,59,0.1,141,20.5,3064.301144
2014,Australia,82.7,East Asia & Pacific,High income,9.71,66.1,0.1,340,20.4,10769.36305
2000,Australia,79.5,East Asia & Pacific,High income,10.17,58.2,0.1,108,20.4,347.18736
2013,Australia,82.5,East Asia & Pacific,High income,9.87,65.5,0.1,158,20.3,11734.85381
2005,Australia,81,East Asia & Pacific,High income,10.3,61.5,0.1,10,20.3,579.1331637
2006,Australia,81.2,East Asia & Pacific,High income,10.31,62,0.1,0,20.3,6187.062017
2002,Australia,79.9,East Asia & Pacific,High income,9.84,59.6,0.1,32,20.1,46.3871819
2012,Australia,82.3,East Asia & Pacific,High income,10.03,65,0.1,199,20.1,11714.99858
2011,Australia,82,East Asia & Pacific,High income,10.3,64.4,0.1,190,19.8,10986.26527
2010,Australia,81.9,East Asia & Pacific,High income,10.52,63.9,0.1,70,19.5,8875.786493
2009,Australia,81.7,East Asia & Pacific,High income,10.62,63.4,0.1,104,19.1,7172.275229
2008,Australia,81.3,East Asia & Pacific,High income,10.76,62.9,0.1,65,19.1,8547.292357
2007,Australia,81.3,East Asia & Pacific,High income,10.56,62.5,0.1,11,19,872.5986092
2002,Austria,78.7,Europe & Central Asia,High income,12.5,51.2,0.1,0,16.1,3979.057728
2014,Austria,81.4,Europe & Central Asia,High income,12.32,57.1,0.1,117,15.9,8350.193523
2013,Austria,81.1,Europe & Central Asia,High income,11.82,56.6,0.1,0,15.7,90.58501176
2011,Austria,88,Europe & Central Asia,High income,12.04,55.7,0.1,68,15.7,8272.306757
2012,Austria,88,Europe & Central Asia,High income,12.26,56.1,0.1,36,15.7,7878.372355
2001,Austria,78.6,Europe & Central Asia,High income,12.4,5.6,0.1,0,15.5,3582.848308
2010,Austria,84,Europe & Central Asia,High income,12.1,55.2,0.1,52,15.4,7423.228774
2000,Austria,78.1,Europe & Central Asia,High income,13.2,5.1,0.1,0,15.4,3557.455507
2009,Austria,82,Europe & Central Asia,High income,11.3,54.7,0.1,49,15.3,8053.557638
2007,Austria,81,Europe & Central Asia,High income,12.5,53.7,0.1,20,15.2,7453.8644
2008,Austria,84,Europe & Central Asia,High income,12,54.2,0.1,448,15.1,8329.731655
2006,Austria,79.8,Europe & Central Asia,High income,12.4,53.2,0.1,23,15,69.92899358
2005,Austria,79.4,Europe & Central Asia,High income,12.4,52.7,0.1,9,14.9,5992.588029
2004,Austria,79.3,Europe & Central Asia,High income,12.1,52.2,0.1,15,14.7,5316.877456
2003,Austria,78.8,Europe & Central Asia,High income,12.2,51.7,0.1,90,14.7,504.4308735
2014,Azerbaijan,72.5,Europe & Central Asia,Upper middle income,0.01,51.5,0.1,0,12.2,306.1824313
2013,Azerbaijan,72.2,Europe & Central Asia,Upper middle income,2.14,5.6,0.1,164,11.9,275.6514934
2012,Azerbaijan,71.9,Europe & Central Asia,Upper middle income,0.01,49.7,0.1,0,11.8,285.6103912
2011,Azerbaijan,71.6,Europe & Central Asia,Upper middle income,1.98,48.8,0.1,0,11.7,263.142699
2010,Azerbaijan,71.1,Europe & Central Asia,Upper middle income,1.98,48,0.1,0,11.7,246.5686008
2007,Azerbaijan,73,Europe & Central Asia,Upper middle income,1.02,45.9,0.1,0,11.6,176.0107106
2008,Azerbaijan,73,Europe & Central Asia,Upper middle income,1.18,46.6,0.1,5,11.6,206.2616134
2009,Azerbaijan,78,Europe & Central Asia,Upper middle income,2.1,47.3,0.1,0,11.6,22.48638351
2005,Azerbaijan,68.4,Europe & Central Asia,Upper middle income,0.73,44.7,0.1,1238,11.2,81.28883085
2004,Azerbaijan,68.4,Europe & Central Asia,Upper middle income,0.62,44.2,0.1,827,11,8.59680496
2003,Azerbaijan,67.8,Europe & Central Asia,Upper middle income,0.55,43.6,0.1,1978,10.8,42.41491183
2006,Azerbaijan,69.2,Europe & Central Asia,Upper middle income,0.85,45.3,0.1,222,10.7,105.6337264
2002,Azerbaijan,67.8,Europe & Central Asia,Upper middle income,0.55,43.1,0.1,4353,10.6,39.33253687
2001,Azerbaijan,67.5,Europe & Central Asia,Upper middle income,0.51,42.6,0.1,574,10.4,4.104190077
2000,Azerbaijan,66.6,Europe & Central Asia,Upper middle income,0.65,42.1,0.1,210,10.1,35.09462644
2010,Bahamas,75,Latin America & Caribbean,High income,9.19,61.3,0.2,0,12.6,0
2009,Bahamas,74.6,Latin America & Caribbean,High income,9.29,6.7,0.1,0,12.6,0
2011,Bahamas,75,Latin America & Caribbean,High income,9.34,62,0.1,0,12.6,0
2013,Bahamas,74.8,Latin America & Caribbean,High income,9.42,63.2,0.1,0,12.6,0
2014,Bahamas,75.4,Latin America & Caribbean,High income,9.45,63.8,0.1,0,12.6,0
2012,Bahamas,74.9,Latin America & Caribbean,High income,9.5,62.6,0.2,0,12.6,0
2008,Bahamas,74.5,Latin America & Caribbean,High income,10.15,6.1,0.1,0,12.6,0
2007,Bahamas,74.4,Latin America & Caribbean,High income,10.75,59.4,0.1,0,12.5,0
2005,Bahamas,74.1,Latin America & Caribbean,High income,10.49,58.1,0.1,0,12.4,0
2006,Bahamas,74.2,Latin America & Caribbean,High income,11.07,58.7,0.1,0,12.4,0
2004,Bahamas,73.8,Latin America & Caribbean,High income,10.1,57.4,0.1,0,12.3,0
2003,Bahamas,73.2,Latin America & Caribbean,High income,10.68,56.7,0.1,0,12.2,0
2002,Bahamas,73.1,Latin America & Caribbean,High income,10.85,56,0.1,0,12.1,0
2001,Bahamas,72.9,Latin America & Caribbean,High income,11.64,55.2,0.2,0,12.1,0
2000,Bahamas,72.6,Latin America & Caribbean,High income,12.15,54.4,0.1,0,12,0
2014,Bahrain,76.8,Middle East & North Africa,High income,1.57,62.9,0.1,46,14.5,367.2556742
2013,Bahrain,76.7,Middle East & North Africa,High income,1.65,62.2,0.1,0,14.5,3.968695982
2012,Bahrain,76.5,Middle East & North Africa,High income,1.7,61.5,0.1,0,14.5,2211.215778
2011,Bahrain,76.1,Middle East & North Africa,High income,1.66,6.8,0.1,0,14.4,197.7734681
2010,Bahrain,76.1,Middle East & North Africa,High income,1.93,6.1,0.1,0,14.4,266.7696122
2009,Bahrain,76,Middle East & North Africa,High income,1.95,59.3,0.1,3,14.4,332.9347646
2008,Bahrain,75.8,Middle East & North Africa,High income,2,58.5,0.1,2,14.4,231.5478912
2007,Bahrain,75.6,Middle East & North Africa,High income,2,57.6,0.1,7,14.4,278.3602806
2006,Bahrain,75.5,Middle East & North Africa,High income,2.1,56.8,0.1,3,14.2,170.7374027
2005,Bahrain,75.3,Middle East & North Africa,High income,2.05,56.1,0.1,4,14,1553.468944
2004,Bahrain,75.2,Middle East & North Africa,High income,2.16,55.6,0.1,11,13.9,1380.228095
2003,Bahrain,75,Middle East & North Africa,High income,2.16,55.2,0.1,12,13.7,1214.558167
2002,Bahrain,74.9,Middle East & North Africa,High income,1.99,55,0.1,8,13.5,106.4303336
2001,Bahrain,74.7,Middle East & North Africa,High income,1.95,54.8,0.1,5,13.3,1150.418063
2000,Bahrain,74.5,Middle East & North Africa,High income,2.15,54.5,0.1,6,13.2,167.7270642
2014,Bangladesh,71.4,South Asia,Lower middle income,0.01,17.7,0.1,289,10,10.44640334
2013,Bangladesh,71,South Asia,Lower middle income,0.01,17,0.1,237,10,52.82986467
2012,Bangladesh,77,South Asia,Lower middle income,0.01,16.4,0.1,1986,9.9,59.2589257
2011,Bangladesh,73,South Asia,Lower middle income,0.01,15.8,0.1,5625,9.4,62.34988484
2010,Bangladesh,69.9,South Asia,Lower middle income,0.01,15.2,0.1,788,8.9,62.65945432
2008,Bangladesh,69.1,South Asia,Lower middle income,0.01,14,0.1,2660,8.6,42.48865034
2007,Bangladesh,68.6,South Asia,Lower middle income,0.01,13.5,0.1,2924,8.6,46.36536703
2009,Bangladesh,69.5,South Asia,Lower middle income,0.01,14.6,0.1,718,8.4,53.26400378
2006,Bangladesh,68.2,South Asia,Lower middle income,0.01,13,0.1,6192,8.4,42.3304549
2005,Bangladesh,67.8,South Asia,Lower middle income,0.01,12.5,0.1,25934,8.2,38.05462002
2004,Bangladesh,67.3,South Asia,Lower middle income,0.01,12,0.1,9743,8.1,4.11469667
2003,Bangladesh,66.8,South Asia,Lower middle income,0.01,11.6,0.1,4067,7.9,35.48458957
2002,Bangladesh,66.3,South Asia,Lower middle income,0.01,11.2,0.1,3484,7.7,0.397228764
2001,Bangladesh,65.8,South Asia,Lower middle income,0.01,1.8,0.1,4414,7.5,3.395069781
2000,Bangladesh,65.3,South Asia,Lower middle income,0.01,1.4,0.1,5098,7.3,3.69633051
2010,Barbados,74.7,Latin America & Caribbean,High income,8.41,5.7,0.1,0,15.8,154.9630863
2009,Barbados,74.6,Latin America & Caribbean,High income,8.46,49.9,0.1,0,15.5,327.1618128
2011,Barbados,74.9,Latin America & Caribbean,High income,8.51,51.4,0.1,0,15.5,173.9825629
2012,Barbados,75.1,Latin America & Caribbean,High income,8.61,52.2,0.1,0,15.3,260.0043858
2013,Barbados,75.2,Latin America & Caribbean,High income,8.74,53,0.1,0,15.3,263.0372838
2014,Barbados,75.4,Latin America & Caribbean,High income,8.82,53.7,0.1,0,15.3,294.9056584
2008,Barbados,74.4,Latin America & Caribbean,High income,8.95,49.2,0.1,0,15.3,25.52277112
2007,Barbados,74.2,Latin America & Caribbean,High income,8.47,48.4,0.1,0,15,1641.30981
2006,Barbados,74.1,Latin America & Caribbean,High income,8.39,47.7,0.1,0,14.8,181.5000856
2005,Barbados,73.9,Latin America & Caribbean,High income,8.01,46.9,0.1,0,14.6,1311.440423
2004,Barbados,73.8,Latin America & Caribbean,High income,7.68,46.2,0.2,0,14.4,166.0083443
2003,Barbados,73.7,Latin America & Caribbean,High income,7.65,45.4,0.4,0,14.2,13.5139917
2001,Barbados,73.4,Latin America & Caribbean,High income,7.38,43.8,0.7,0,14,138.1664627
2000,Barbados,73.3,Latin America & Caribbean,High income,7.43,43,0.9,0,14,1140.615754
2002,Barbados,73.5,Latin America & Caribbean,High income,7.59,44.6,0.8,0,14,133.099491
2014,Belarus,72,Europe & Central Asia,Upper middle income,13.94,61.7,0.1,64,15.7,1147.1114
2013,Belarus,71.7,Europe & Central Asia,Upper middle income,14.66,61.1,0.1,16,15.7,1109.854619
2012,Belarus,71.9,Europe & Central Asia,Upper middle income,16.35,6.5,0.1,10,15.6,91.70962117
2010,Belarus,73,Europe & Central Asia,Upper middle income,14.44,59.3,0.1,1,15.5,8.49409518
2011,Belarus,72,Europe & Central Asia,Upper middle income,17.31,59.9,0.1,50,15.5,846.9113071
2009,Belarus,70,Europe & Central Asia,Upper middle income,14.09,58.7,0.1,0,15.4,434.7985025
2008,Belarus,70,Europe & Central Asia,Upper middle income,14.67,58.2,0.1,0,15.1,501.8056141
2007,Belarus,69.8,Europe & Central Asia,Upper middle income,14.22,57.7,0.1,1,14.9,464.077513
2006,Belarus,68.9,Europe & Central Asia,Upper middle income,12.6,57.2,0.1,149,14.6,364.426052
2005,Belarus,68.1,Europe & Central Asia,Upper middle income,11.01,56.7,0.1,1,14.4,45.65007798
2004,Belarus,68.2,Europe & Central Asia,Upper middle income,12.05,56.2,0.1,2,14.1,42.33443901
2003,Belarus,67.7,Europe & Central Asia,Upper middle income,11.17,55.8,0.1,21,13.9,23.83578594
2002,Belarus,67.2,Europe & Central Asia,Upper middle income,12.23,55.3,0.1,14,13.6,145.4233629
2001,Belarus,67.7,Europe & Central Asia,Upper middle income,10.74,54.9,0.1,45,13.3,14.06141699
2000,Belarus,68,Europe & Central Asia,Upper middle income,12.98,54.4,0.1,21,13.1,24.24947846
2002,Belgium,78,Europe & Central Asia,High income,11.29,59,0.1,0,18.8,320.3177664
2004,Belgium,78.8,Europe & Central Asia,High income,12.05,59.8,0.1,61,18.8,5160.508378
2003,Belgium,78.3,Europe & Central Asia,High income,11.28,59.4,0.1,44,18.6,507.306164
2001,Belgium,78,Europe & Central Asia,High income,11.01,58.5,0.1,83,18.2,2943.375396
2000,Belgium,77.6,Europe & Central Asia,High income,11.21,58.1,0.1,0,18,287.2084529
2013,Belgium,87,Europe & Central Asia,High income,11.77,63,0.1,39,16.3,702.359357
2014,Belgium,89,Europe & Central Asia,High income,12.6,63.4,0.1,70,16.3,7163.348923
2012,Belgium,83,Europe & Central Asia,High income,10.08,62.6,0.1,109,16.2,664.4738975
2011,Belgium,83,Europe & Central Asia,High income,10.11,62.3,0.1,576,16.1,713.5297354
2010,Belgium,80,Europe & Central Asia,High income,10.22,61.9,0.1,40,15.9,665.7356115
2009,Belgium,79.8,Europe & Central Asia,High income,10.05,61.6,0.1,33,15.8,671.9376566
2007,Belgium,79.5,Europe & Central Asia,High income,10.25,6.9,0.1,64,15.8,640.3560918
2008,Belgium,79.5,Europe & Central Asia,High income,10.47,61.3,0.1,98,15.8,7191.051507
2006,Belgium,79.4,Europe & Central Asia,High income,10.98,6.6,0.1,15,15.7,5579.199083
2005,Belgium,78.9,Europe & Central Asia,High income,12.27,6.2,0.1,26,15.7,5068.214488
2013,Belize,69.8,Latin America & Caribbean,Upper middle income,6.56,49.3,0.2,0,12.9,629.2018591
2005,Belize,69,Latin America & Caribbean,Upper middle income,6.25,43.8,0.8,0,12.8,365.799896
2014,Belize,70,Latin America & Caribbean,Upper middle income,6.58,5.1,0.2,0,12.8,670.0920883
2008,Belize,69.6,Latin America & Caribbean,Upper middle income,7.22,45.7,0.1,0,12.8,51.25232422
2007,Belize,69.6,Latin America & Caribbean,Upper middle income,7.24,45,0.6,0,12.8,69.63051047
2009,Belize,69.5,Latin America & Caribbean,Upper middle income,6.85,46.3,0.3,0,12.7,549.8096097
2004,Belize,68.7,Latin America & Caribbean,Upper middle income,6.2,43.2,0.8,0,12.5,325.6807462
2012,Belize,69.4,Latin America & Caribbean,Upper middle income,6.66,48.5,0.1,0,12.5,582.8027185
2011,Belize,69.4,Latin America & Caribbean,Upper middle income,6.64,47.8,0.5,0,12.4,605.6286892
2010,Belize,69.5,Latin America & Caribbean,Upper middle income,6.76,47,0.2,0,12.4,569.9527122
2006,Belize,69.4,Latin America & Caribbean,Upper middle income,6.48,44.4,0.6,0,12.3,387.3324928
2003,Belize,68.4,Latin America & Caribbean,Upper middle income,5.67,42.6,1.5,0,12.2,312.7995946
2002,Belize,68.5,Latin America & Caribbean,Upper middle income,4.99,42,0.1,0,11.9,262.8299189
2001,Belize,68.2,Latin America & Caribbean,Upper middle income,4.9,41.4,0.4,0,11.8,251.6586929
2000,Belize,68.3,Latin America & Caribbean,Upper middle income,4.79,4.8,0.3,0,11.7,219.0239836
2014,Benin,59.7,Sub-Saharan Africa,Lower middle income,0.01,25.2,1.1,786,10.7,90.12206791
2013,Benin,59.5,Sub-Saharan Africa,Lower middle income,0.01,24.6,1.2,637,10.3,87.4080423
2012,Benin,59.3,Sub-Saharan Africa,Lower middle income,0.01,24.1,1.3,288,10,9.80407467
2011,Benin,59.1,Sub-Saharan Africa,Lower middle income,1.4,23.5,1.4,426,9.8,110.2633619
2010,Benin,58.7,Sub-Saharan Africa,Lower middle income,1.33,23,1.4,392,9.5,94.25737917
2009,Benin,58.4,Sub-Saharan Africa,Lower middle income,1.16,22.5,1.6,1461,9.3,71.01399249
2008,Benin,57.6,Sub-Saharan Africa,Lower middle income,1.28,22,1.8,928,9.1,7.615430126
2007,Benin,57.1,Sub-Saharan Africa,Lower middle income,1.12,21.5,2,341,8.9,7.49281752
2006,Benin,56.8,Sub-Saharan Africa,Lower middle income,1.19,21,2,176,8.7,75.91429496
2005,Benin,56.5,Sub-Saharan Africa,Lower middle income,1.13,2.5,2.1,210,8.5,7.106997355
2004,Benin,56.1,Sub-Saharan Africa,Lower middle income,1.15,2.1,2.1,262,8.1,10.73628066
2003,Benin,55.8,Sub-Saharan Africa,Lower middle income,1.35,19.7,2.1,217,7.7,8.931827297
2002,Benin,55.6,Sub-Saharan Africa,Lower middle income,1.23,19.2,2.1,1588,7.3,40.48815233
2001,Benin,55.5,Sub-Saharan Africa,Lower middle income,1.29,18.8,2.1,5859,6.6,45.33476384
2000,Benin,55.4,Sub-Saharan Africa,Lower middle income,1.34,18.4,2,4244,6.4,37.38182018
